"How excited should you be? Amazon doesn’t have as many British crime shows as Netflix, so adding this highly stylized detective thriller should be a welcome move for fans of that genre. Malkovich elevates everything he stars in (even with a ridiculous accent this time around) and Grint looks nothing",|
Vice President Mike Pence is the subject of Jim Carrey’s latest scathing political portrait. The actor-turned-artist depicted Pence staring intensely at a fly on the back of his hand in the picture — captioned “Psycho Mike-O” — that he posted on Twitter Friday: Carrey also included a modified quote from,|
"Twitter users have been poring over photos of a recent White House event honoring military spouses and moms, wondering why there appeared to be no male spouses and few people of color. Wednesday’s gathering was held as President Donald Trump signed an executive order aimed at expanding government job opportunities",|
"Environmental Protection Agency Administrator Scott Pruitt’s expensive trip to Italy last year included dinner with Vatican treasurer George Pell, a climate denier since charged with child sex abuse, according to documents unearthed by The New York Times. Emails obtained by Times reporter Eric Lipton and shared Thursday on Twitter reveal",|
"WASHINGTON ― Did Russians target the key swing states with their social media advertising push, and did they have any help from the Trump campaign? The question has troubled Washington for months. But a review of Facebook advertisements from Russian trolls during the 2016 presidential election now shows that they",|
"Netflix confirmed on Thursday that comedic actor Rick Moranis will join his fellow “SCTV” alums for a documentary about the show for the streaming service. HuffPost previously reported that the “SCTV” comedy crew would be the subject of a Netflix documentary directed by Martin Scorcese, but Moranis had not been",|
"Anthony Wall / Facebook A verbal argument between Anthony Wall and Waffle House employees brought police to the scene, and then this happened. A video that shows a Warsaw, North Carolina, police officer putting 22-year-old Anthony Wall in a chokehold and wrestling him to the ground outside a Waffle House",|
"If nothing else, I hope every producer, writer, actor, crew member, etc who worked on Brooklyn Nine-Nine looks at Twitter today and sees how DEEPLY loved their show is, and that the work they’ve been doing had an impact. It means a lot to a lot of people. It’s taken",|
"Tom and Abby will be lounging in his-and-her recliners forever and ever. Tom Jackson, a beloved contestant on Netflix’s “Queer Eye” revival, announced on Twitter Wednesday that he and ex-wife Abby Parr married each other again. The couple told Us Weekly that they eloped on March 27 and had a",|
"On Thursday, Democrats on the House Intelligence Committee released the 3,000 Facebook ads that Russia paid to run on the platform from 2015 through 2017, including those that were posted during the 2016 elections. According to a House analysis, the advertisements came from the Internet Research Agency, a Kremlin-backed troll",|
"No one likes a loud moviegoer. But when that chatty audience member just happens to be Greta Gerwig and her on-going commentary is hilarious, it doesn’t seem as annoying. Or at least that’s what Twitter user Jaye Hunt thought when the “Ladybird” director and her friends allegedly waltzed into an",|
"If you’re on a time crunch to find a perfect Mother’s Day gift that’ll still arrive on time, it’s your lucky day. Amazon competitor Jet, owned by Walmart, just announced an easy way to save on Apple products this Mother’s Day. Jet is now an authorized reseller of Apple products",|
